"handle","title","price","blend","tasting_notes","food_pairing","serving_temp","region","oak","awards","full_text","url"
"copy-of-saint-george-shiraz-reserve-2007","Saint George Shiraz Reserve 2019","75cl: 22","","This dark inky Shiraz Reserve opens with meaty aromas like leather and cured cuts backed by spicy black pepper and hints of cloves! Powerful and bold, let breathe before drinking.","Barbecue beef, roasted pork, sautéed mushrooms, cheeses- Camembert, aged Gouda are the perfect match to this heavenly wine.","","","","","Tasting Notes This dark inky Shiraz Reserve opens with meaty aromas like leather and cured cuts backed by spicy black pepper and hints of cloves! Powerful and bold, let breathe before drinking. Food Pairing Barbecue beef, roasted pork, sautéed mushrooms, cheeses- Camembert, aged Gouda are the perfect match to this heavenly wine.","https://13c.wine/products/copy-of-saint-george-shiraz-reserve-2007"
"saint-geirge-touriga-nacional-winemakers-selection-2016","Saint George Touriga Nacional Winemaker's Selection 2016","75cl: 16","","Touriga Nacional is the emblematic grape found in Port wines. This one is made in a dry style, and captures the fruity and bold flavors of the grape.","","","","","","Touriga Nacional is the emblematic grape found in Port wines. This one is made in a dry style, and captures the fruity and bold flavors of the grape.","https://13c.wine/products/saint-geirge-touriga-nacional-winemakers-selection-2016"
"saint-george-barbera-2018","Saint George Barbera 2018","75cl: 13","","Deep ruby-red in color, it charges out of the glass with intense aromas of dark cherries, ripe black plums with hints of violets and vanilla and touches of dried tobacco leaves. Medium bodied, the wine expresses focused texture, impressive mid-palate density, and an elegant finish. Aged for 6 months in French oak.","Its medium to high acidities are making it a great companion to red sauce dishes, pizza, pastas, mushroom dishes, medium strength blue cheese.","","","Aged for 6 months in French oak.","","Deep ruby-red in color, it charges out of the glass with intense aromas of dark cherries, ripe black plums with hints of violets and vanilla and touches of dried tobacco leaves. Medium bodied, the wine expresses focused texture, impressive mid-palate density, and an elegant finish. Its medium to high acidities are making it a great companion to red sauce dishes, pizza, pastas, mushroom dishes, medium strength blue cheese. Aged for 6 months in French oak.","https://13c.wine/products/saint-george-barbera-2018"
"saint-george-cabernet-sauvignon-2023","Saint George Cabernet Sauvignon 2023","75cl: 12","","A classical Cabernet Sauvignon with a deep purple color and garnet hues. It has a black cherry and plum nose with liquorice, cassis and toasty oak notes. The wine is full bodied with integrated tanning smooth tannins.","Combined with steak, roast veal, or even a slow cooked leg of lamb, this wine will show its wonderful complexity.","","Jordan","It has a black cherry and plum nose with liquorice, cassis and toasty oak notes.","","A true Cabernet Sauvignon lover’s wine. Handpicked and organically grow, the Zumot family believes that wine is made in the vineyard by nature rather than in the cellar. The soil of the Sama Vineyard where the vines are planted contain clay, limestone and basalt; the residue of volcanic activity that is 50,000 years old! This noble variety has thrived in Jordan and produces a wine with ample fruit and length. Tasting Notes A classical Cabernet Sauvignon with a deep purple color and garnet hues. It has a black cherry and plum nose with liquorice, cassis and toasty oak notes. The wine is full bodied with integrated tanning smooth tannins. Food Pairing Combined with steak, roast veal, or even a slow cooked leg of lamb, this wine will show its wonderful complexity. Country: Jordan","https://13c.wine/products/saint-george-cabernet-sauvignon-2023"
"saint-george-cabernet-sauvignon-cabernet-franc-2020","Saint George Cabernet Sauvignon - Cabernet Franc 2020","75cl: 13","blend of Cabernet Sauvignon and Cabernet Franc","The deep garnet color of this wine is a promise of depth and complexity. It has an aromatic nose of cassis and dark fruit complemented by baking spice and peppercorn. On the palate it is juicy and fruity that develops spiciness and supple tannins.","Steak, spaghetti Bolognese, and aged hard cheeses.","","Jordan","","","Despite the ancient history of this land - the fertile crescent is the cradle of Vitis Vinifera (the wine producing grape) - Jordan had lost much of that tradition and locals had been making wine at home with table grapes. In order to produce quality wines that speak of this place, the Zumot family had to start from the ground up, planting more than 34 different noble grape varieties. Two of these stars make this Bordeaux style blend of Cabernet Sauvignon and Cabernet Franc. This is a red wine of density, structure and balance. It is a great wine for aging which offers a complexity of aromas and flavors, fruit of the Jordanian sun. Tasting Notes The deep garnet color of this wine is a promise of depth and complexity. It has an aromatic nose of cassis and dark fruit complemented by baking spice and peppercorn. On the palate it is juicy and fruity that develops spiciness and supple tannins. Food Pairing Steak, spaghetti Bolognese, and aged hard cheeses. Country: Jordan","https://13c.wine/products/saint-george-cabernet-sauvignon-cabernet-franc-2020"
"saint-george-cabernet-sauvignon-reserve-2018","Saint George Cabernet Sauvignon Reserve 2018","75cl: 22","","This is an exceptional Cabernet made only in the best years of the best fruit! It is a deep purple, full-bodied Cabernet Sauvignon, its wonderful aromas of jammy black fruits, roasted coffee and so elegant texture, velvety and warm. Ripe on the nose but fresh on the palate with plum and cherry jam flavors. The aftertaste is expansive. Terrific harmony and balance.","A great wine deserves an exceptional meal! Rich cheeses such as aged cheddar and gouda, Kobe beef fillet with truffle sauce.","","Jordan","","","Tasting Notes This is an exceptional Cabernet made only in the best years of the best fruit! It is a deep purple, full-bodied Cabernet Sauvignon, its wonderful aromas of jammy black fruits, roasted coffee and so elegant texture, velvety and warm. Ripe on the nose but fresh on the palate with plum and cherry jam flavors. The aftertaste is expansive. Terrific harmony and balance. Food Pairing A great wine deserves an exceptional meal! Rich cheeses such as aged cheddar and gouda, Kobe beef fillet with truffle sauce. Country: Jordan","https://13c.wine/products/saint-george-cabernet-sauvignon-reserve-2018"
"saint-george-cabernet-sauvignon-winemakers-selection-2022","Saint George Cabernet Sauvignon Winemaker's Selection 2022","75cl: 16","","A classical Cabernet Sauvignon with a deep purple color and garnet hues. It has a black cherry and plum nose with liquorice, cassis and toasty oak notes. The wine is full bodied with integrated tanning smooth tannins.","Combined with steak, roast veal, or even a slow cooked leg of lamb, this wine will show its wonderful complexity.","","Jordan","It has a black cherry and plum nose with liquorice, cassis and toasty oak notes.","","A true Cabernet Sauvignon lover’s wine. Handpicked and organically grow, the Zumot family believes that wine is made in the vineyard by nature rather than in the cellar. The soil of the Sama Vineyard where the vines are planted contain clay, limestone and basalt; the residue of volcanic activity that is 50,000 years old! This noble variety has thrived in Jordan and produces a wine with ample fruit and length. Tasting Notes A classical Cabernet Sauvignon with a deep purple color and garnet hues. It has a black cherry and plum nose with liquorice, cassis and toasty oak notes. The wine is full bodied with integrated tanning smooth tannins. Food Pairing Combined with steak, roast veal, or even a slow cooked leg of lamb, this wine will show its wonderful complexity. Country: Jordan","https://13c.wine/products/saint-george-cabernet-sauvignon-winemakers-selection-2022"
"saint-george-cabernet-shiraz-2016","Saint George Cabernet - Shiraz 2016","75cl: 13","blend of Shiraz and Cabernet Sauvignon, two varieties that have thrived, is a testament to the relentless effort and care given to these vines","The deep garnet color of this wine is a promise of depth and complexity. It has an aromatic nose of wild black berries, jammy black plum complemented by baking spice and liquorice. It develops toffee aromas and caramel after a few minutes in the glass. On the palate it is juicy and fruity that develops spiciness and supple tannins.","Barbecue pork ribs, strong cheeses, smoked meats.","","Jordan","","","Despite the ancient history of this land - the fertile crescent is the cradle of Vitis Vinifera (the wine producing grape) - Jordan had lost much of that tradition and locals had been making wine at home with table grapes. In order to produce quality wines that speak of this place, the Zumot family had to start from the ground up, planting more than 34 different noble grape varieties. This blend of Shiraz and Cabernet Sauvignon, two varieties that have thrived, is a testament to the relentless effort and care given to these vines. Tasting Notes The deep garnet color of this wine is a promise of depth and complexity. It has an aromatic nose of wild black berries, jammy black plum complemented by baking spice and liquorice. It develops toffee aromas and caramel after a few minutes in the glass. On the palate it is juicy and fruity that develops spiciness and supple tannins. Food Pairing Barbecue pork ribs, strong cheeses, smoked meats. Country: Jordan","https://13c.wine/products/saint-george-cabernet-shiraz-2016"
"saint-george-cermenere-terroir-expression-2018","Saint George Carmenere Terroir Expression 2018","50cl: 15 | 75cl: 20","","Wine is a meeting point of passion, science and art. This unique collection of Jordanian wine is a selection of the best varieties that express the terroir of the vintage. This Carmenere exhibits wonderful aromas of raspberries and blackberries, backed by a clear peppery backbone, with hints of bell pepper. Juicy, biting with polished tannins and an evident ethanolic finish.","","","Jordan","","","Wine is a meeting point of passion, science and art. This unique collection of Jordanian wine is a selection of the best varieties that express the terroir of the vintage. This Carmenere exhibits wonderful aromas of raspberries and blackberries, backed by a clear peppery backbone, with hints of bell pepper. Juicy, biting with polished tannins and an evident ethanolic finish. Country: Jordan","https://13c.wine/products/saint-george-cermenere-terroir-expression-2018"
"saint-george-chardonnay-2024","Saint George Chardonnay 2024","75cl: 13","","This Chardonnay is a bright straw yellow color the delights with a nose of lemon curd, white peach and vanilla. Balanced between fruitiness and creaminess, it is crisp, refreshing and round with a medium length finish.","Pair it with rich appetizers such as ceaser salad, onion soup, or main dishes like salmon in cream chive sauce.","","Jordan","It produces an elegant Chardonnay partially aged in oak to balance its fruity character and round mouthfeel.","","The vines for the Saint George wines grow in a mixture of clay, limestone and basalt, imparting a unique character to the vines and wine. It produces an elegant Chardonnay partially aged in oak to balance its fruity character and round mouthfeel. Tasting Notes This Chardonnay is a bright straw yellow color the delights with a nose of lemon curd, white peach and vanilla. Balanced between fruitiness and creaminess, it is crisp, refreshing and round with a medium length finish. Food Pairing Pair it with rich appetizers such as ceaser salad, onion soup, or main dishes like salmon in cream chive sauce. Country: Jordan","https://13c.wine/products/saint-george-chardonnay-2024"
